dest_ip,protocol,port,size,priority
252.36.161.89,17,12339,724,5
167.58.54.110,17,53169,650,5
8.67.40.10,17,53,492,9
107.225.62.120,6,443,1181,8
51.84.180.190,6,80,241,8
15.52.79.225,6,19255,1026,5
15.244.194.214,6,13346,180,5
126.89.160.209,6,80,632,8
206.183.128.62,6,29790,797,5
237.234.197.184,17,47461,767,5
33.36.151.53,17,50735,830,5
185.44.35.227,6,29964,538,5
26.163.193.142,6,80,896,8
89.170.124.213,17,18209,1103,5
122.67.130.23,17,53,982,9
58.78.41.32,6,25374,1217,5
238.102.44.70,6,443,787,8
123.111.182.91,17,61866,254,5
32.15.142.217,17,53,1206,9
179.138.223.130,17,53,220,9
140.174.249.236,6,443,296,8
29.150.220.83,17,20947,1054,5
231.79.35.43,6,12397,1446,5
90.14.217.183,6,443,1479,8
87.215.20.241,17,53,266,9
235.6.139.30,17,21823,230,5
60.248.185.19,17,53,659,9
2.146.157.61,6,443,95,8
205.64.155.201,17,53,85,9
14.143.237.96,6,443,524,8
14.128.234.65,6,443,1303,8
112.69.50.213,17,2269,1018,5
72.88.53.219,17,46640,1320,5
80.106.141.211,6,41366,1012,5
227.242.223.128,17,53,1243,9
255.130.191.132,6,80,279,8
101.215.113.99,17,53,1422,9
168.87.89.0,17,6037,746,5
168.22.77.24,17,46511,1261,5
19.141.128.6,6,443,1059,8
52.179.77.203,6,443,720,8
208.60.156.44,17,53,1447,9
219.215.180.180,17,53,1183,9
141.40.238.245,17,53,935,9
228.154.60.217,6,80,1204,8
26.184.135.51,17,53,1120,9
124.120.27.152,17,53,676,9
20.21.10.217,6,80,754,8
233.124.14.165,17,6488,1428,5
133.95.236.198,17,27170,1117,5
141.143.40.104,17,53,1176,9
31.108.106.134,6,80,1453,8
201.182.112.147,17,36091,1067,5
195.162.21.255,6,80,177,8
243.250.193.80,17,53,580,9
5.115.61.16,17,30699,830,5
214.25.104.170,17,46625,843,5
69.50.73.158,17,53,351,9
150.150.232.51,6,80,475,8
247.16.144.11,17,46005,852,5
15.73.208.26,6,443,1438,8
98.73.165.134,17,23574,1009,5
97.241.76.152,6,54315,1364,5
113.171.71.17,17,53,157,9
57.117.116.51,6,443,662,8
97.27.146.171,17,53,362,9
168.240.227.224,6,58992,1354,5
136.81.100.71,6,80,1127,8
169.16.34.184,17,36153,1321,5
195.83.185.228,6,80,1164,8
239.237.231.187,6,48896,1017,5
7.0.23.80,17,4388,627,5
159.28.159.212,6,443,1495,8
221.161.73.122,6,28712,359,5
192.157.85.127,6,80,1226,8
206.177.140.211,17,53,936,9
141.164.175.190,6,80,75,8
136.230.31.50,17,53,975,9
66.149.245.201,6,443,342,8
245.214.140.143,6,443,1012,8
60.252.112.80,17,58732,1255,5
232.95.218.85,6,443,1246,8
70.62.155.179,17,53,97,9
255.177.193.146,6,443,1428,8
75.187.46.154,6,443,587,8
146.50.120.191,17,55158,1475,5
70.54.141.18,6,51354,1121,5
3.40.168.13,6,80,884,8
169.40.165.178,6,443,1121,8
214.4.21.60,6,61523,169,5
216.251.213.66,17,46184,923,5
113.157.114.47,17,53,675,9
4.107.150.249,6,443,1333,8
2.69.89.165,6,62428,207,5
91.213.80.55,17,58096,498,5
142.125.227.144,17,35301,123,5
104.154.185.45,6,80,980,8
20.93.47.126,6,80,1482,8
141.43.176.11,6,38923,970,5
244.11.7.121,17,53,1213,9
112.192.164.246,17,53,205,9
201.103.130.251,17,59573,678,5
126.179.169.143,6,19612,573,5
44.171.185.173,6,80,322,8
167.238.47.35,6,7226,108,5
59.144.108.8,6,31940,1401,5
167.147.235.129,17,3352,1269,5
81.60.212.100,6,23350,1429,5
58.91.23.28,17,53,113,9
253.241.210.5,6,80,1116,8
249.172.26.79,6,4998,549,5
217.114.194.54,17,53,999,9
60.21.23.252,6,80,1172,8
27.242.35.92,6,62132,740,5
129.198.175.64,17,53,1189,9
19.211.199.38,6,42766,797,5
52.60.23.82,17,37355,262,5
146.3.127.194,17,53,1193,9
174.87.20.232,17,53,963,9
72.120.56.58,17,11263,413,5
6.82.98.162,6,80,1164,8
92.59.195.229,17,17668,402,5
249.160.19.190,17,53,898,9
95.237.92.183,17,7157,1490,5
7.249.238.135,17,53,856,9
94.73.8.200,17,36690,1179,5
151.90.174.105,17,64441,898,5
182.124.178.172,17,60812,371,5
240.159.229.171,17,53,234,9
149.42.237.0,6,443,141,8
38.107.75.109,6,80,1368,8
166.50.195.80,17,8540,1199,5
244.134.162.81,6,80,902,8
254.8.165.64,6,443,429,8
187.228.58.167,6,80,882,8
204.87.50.242,6,443,434,8
155.107.9.146,6,443,619,8
133.52.189.118,17,53,102,9
81.34.240.1,6,80,463,8
147.67.44.118,6,5464,135,5
233.59.218.59,6,80,503,8
84.36.170.228,6,443,672,8
250.59.201.33,6,443,956,8
59.27.167.35,17,53,1237,9
248.239.0.23,17,47422,1070,5
177.109.61.167,6,52884,1001,5
104.240.229.242,6,45257,491,5
20.102.145.137,6,443,1201,8
58.248.52.242,17,53,161,9
201.75.58.111,17,53,355,9
252.155.81.154,6,80,640,8
232.197.163.176,17,32188,214,5
170.120.152.170,6,443,1456,8
155.5.10.108,17,53,1494,9
203.189.55.50,6,5875,584,5
87.113.63.255,6,7529,634,5
30.50.227.225,6,443,1207,8
104.147.163.138,6,64307,958,5
116.61.224.58,17,40183,334,5
42.177.128.56,6,443,456,8
107.43.12.39,6,20159,418,5
25.218.213.52,17,53,514,9
222.148.218.16,17,53,1066,9
213.119.193.49,6,443,672,8
18.177.23.139,6,80,325,8
108.31.178.252,17,53346,263,5
32.160.194.68,17,20080,165,5
75.27.187.58,6,80,1090,8
184.224.194.225,17,18299,304,5
235.180.140.158,17,53,639,9
243.45.229.48,17,53,900,9
233.33.242.49,17,53,1049,9
161.126.52.176,6,3778,248,5
111.137.99.179,6,3950,853,5
193.246.2.139,6,80,1075,8
179.58.166.185,17,41160,1041,5
187.194.237.230,17,21697,892,5
130.102.85.124,17,53,638,9
151.210.3.0,17,33532,836,5
116.26.91.9,17,53741,587,5
82.8.38.184,6,80,1109,8
197.227.190.21,6,443,1260,8
59.117.159.170,17,14950,404,5
126.72.123.28,17,11601,290,5
237.148.67.120,17,17791,787,5
73.6.157.169,6,58187,1455,5
98.82.67.144,17,19826,1479,5
193.222.109.88,6,80,881,8
244.25.120.205,6,80,645,8
187.33.211.71,6,80,1335,8
80.122.97.169,6,22936,1092,5
88.235.164.98,6,63717,1212,5
42.100.69.211,6,443,218,8
73.176.22.229,17,53,181,9
124.148.40.175,17,6634,1163,5
43.88.155.63,6,443,787,8
71.84.54.4,6,443,1244,8
24.145.226.92,6,80,1003,8
43.57.233.149,6,7003,98,5
49.244.54.234,6,443,137,8
210.136.176.106,17,53,497,9
94.154.53.207,17,53,826,9
116.47.121.14,6,80,944,8
235.1.187.167,17,53,1494,9
30.180.109.59,17,53,369,9
227.141.159.176,6,443,1212,8
126.69.254.228,17,1193,455,5
171.48.241.177,6,80,1493,8
247.235.167.233,6,443,1238,8
205.187.108.31,17,56409,818,5
19.8.159.139,6,5618,1308,5
85.216.168.26,17,53,865,9
176.28.173.78,17,53,507,9
9.209.193.31,17,8762,1181,5
133.115.181.23,6,80,1027,8
160.70.212.211,6,80,1186,8
160.149.192.208,6,443,373,8
62.244.51.223,17,53,473,9
150.26.153.104,17,53,651,9
50.23.249.60,17,46598,1338,5
120.89.123.198,6,443,383,8
127.41.118.48,6,443,756,8
33.189.29.183,6,80,1181,8
54.213.24.123,6,7545,666,5
111.47.132.17,17,63305,428,5
156.120.186.222,17,53,1074,9
181.193.240.39,6,443,418,8
9.239.161.155,6,443,1180,8
176.31.144.231,17,53,482,9
157.6.90.232,17,53,1260,9
89.68.166.156,17,15681,244,5
244.79.80.49,6,443,374,8
224.189.96.68,6,80,216,8
215.55.148.213,6,80,586,8
224.2.143.154,17,53,859,9
171.0.118.78,6,8315,476,5
161.73.123.101,17,6153,749,5
153.12.46.42,6,443,592,8
139.29.34.132,6,1168,221,5
75.160.118.138,17,53,295,9
56.11.212.203,6,80,1196,8
195.145.89.184,17,19464,591,5
114.121.236.158,17,53,1331,9
108.195.248.170,6,443,190,8
45.27.20.62,6,443,1120,8
244.209.24.63,6,56750,1467,5
169.29.236.178,6,443,496,8
225.213.252.234,6,60563,1337,5
221.47.181.104,17,53,971,9
153.222.253.32,17,53,124,9
175.237.198.195,6,443,780,8
7.106.22.231,17,53,354,9
104.180.155.0,17,18123,1109,5
82.188.182.77,6,443,1207,8
172.204.21.7,17,53,470,9
105.70.79.63,17,32906,1312,5
207.28.160.33,6,1321,1045,5
108.217.220.63,6,80,1285,8
13.252.115.193,6,443,324,8
56.12.253.61,17,45118,1147,5
11.174.79.193,17,53,572,9
114.152.75.182,17,53,969,9
224.40.195.21,6,80,501,8
137.56.39.156,17,46233,1127,5
156.90.52.46,17,53,1179,9
138.46.48.214,17,53,1066,9
97.18.121.39,6,80,226,8
53.224.237.214,6,80,467,8
137.20.188.150,17,53358,454,5
252.55.51.122,6,443,394,8
183.195.21.162,17,34561,369,5
95.182.152.165,6,58977,917,5
105.212.69.243,17,50803,846,5
3.125.248.46,6,80,423,8
216.113.129.150,17,53,1006,9
134.204.85.107,17,26229,638,5
128.98.66.119,6,80,754,8
202.149.124.46,17,62249,388,5
10.211.51.97,6,80,645,8
72.120.145.122,6,80,729,8
6.52.224.230,6,443,1122,8
176.37.91.157,17,53,1276,9
8.165.173.3,6,443,520,8
191.250.116.158,17,53,1497,9
102.151.157.15,6,13890,1175,5
224.106.70.178,6,80,288,8
220.170.246.165,6,443,1027,8
19.151.71.112,17,53,589,9
187.142.55.226,17,53,1456,9
5.40.211.9,6,44524,313,5
235.65.234.199,17,55121,853,5
100.32.178.42,17,32141,1287,5
219.251.73.26,17,8492,1356,5
200.230.205.75,6,443,908,8
190.84.236.235,17,53,646,9
77.89.246.142,6,443,319,8
117.122.215.3,17,63394,1362,5
25.132.147.206,6,443,1266,8
147.129.235.179,17,53,529,9
96.103.152.36,17,53,1455,9
109.245.250.74,17,53,1248,9
71.79.146.5,6,80,1093,8
129.176.28.164,17,3866,302,5
97.229.131.94,17,53,1491,9
254.63.86.98,6,443,471,8
186.65.52.138,6,443,836,8
243.146.182.11,6,443,357,8
182.238.161.207,17,36808,337,5
115.199.253.117,17,60998,413,5
6.95.80.70,17,42909,1102,5
197.109.190.41,6,80,731,8
114.116.46.118,6,61727,1175,5
79.132.32.16,17,53,287,9
21.105.18.221,17,50292,1371,5
143.150.47.242,17,61954,830,5
241.45.6.100,17,49761,533,5
151.233.175.226,17,53,1095,9
21.121.188.36,6,31779,112,5
214.139.200.15,17,53,399,9
194.181.121.194,6,51071,316,5
126.80.160.0,6,443,835,8
105.111.144.116,6,80,345,8
189.146.35.42,6,15376,817,5
213.150.56.66,6,64811,1327,5
9.88.179.84,17,41600,1417,5
153.70.96.30,17,53,1460,9
223.21.230.103,17,47040,604,5
127.243.232.24,17,53,128,9
60.89.105.198,17,53,1223,9
187.170.110.74,17,53,807,9
235.213.193.73,6,38268,1429,5
19.215.84.214,17,24491,384,5
3.124.229.153,6,443,1316,8
31.25.41.126,17,53,132,9
50.134.175.0,6,443,1262,8
29.25.31.100,17,53,718,9
226.176.80.85,17,9940,387,5
126.196.105.216,6,80,1092,8
134.75.120.154,17,56082,1247,5
107.11.180.87,6,80,1096,8
2.94.196.70,17,53,572,9
30.25.240.16,17,46034,546,5
254.233.25.114,17,53,1358,9
227.185.58.52,17,10600,486,5
42.123.106.124,6,80,216,8
175.93.185.156,17,53,788,9
154.193.173.105,17,32284,944,5
120.220.52.11,6,80,830,8
237.135.7.213,6,443,911,8
121.79.146.118,6,80,776,8
81.84.0.166,17,55929,1032,5
45.225.189.164,17,49457,834,5
120.114.66.14,6,443,1070,8
1.111.41.49,6,80,97,8
179.147.47.184,6,443,562,8
117.102.99.148,17,4556,325,5
24.63.54.219,17,30842,302,5
159.254.55.9,17,53,1093,9
152.46.42.253,17,2325,747,5
17.23.248.64,6,5398,1152,5
226.34.199.117,17,53,731,9
49.80.230.13,6,80,1117,8
186.180.235.119,17,53,316,9
196.89.97.114,17,53,622,9
239.46.205.201,17,53,567,9
51.220.208.156,17,53,829,9
151.183.50.179,6,30578,121,5
55.104.181.74,6,443,1040,8
45.166.185.116,6,443,615,8
144.76.1.161,17,53,94,9
98.8.200.117,6,443,165,8
154.210.140.74,17,53,1417,9
232.195.71.208,17,53,1481,9
53.149.31.253,17,5728,1374,5
55.104.214.170,6,443,532,8
157.107.163.181,17,7995,262,5
36.177.126.69,17,22559,1345,5
0.16.45.192,17,53,596,9
248.71.145.224,6,63127,963,5
206.166.233.188,6,80,805,8
120.192.157.139,6,80,125,8
194.143.216.203,6,443,454,8
100.171.208.53,6,80,952,8
198.31.152.177,17,56015,316,5
180.204.114.20,17,10650,484,5
90.224.187.90,17,53,176,9
113.15.196.21,17,53,1047,9
230.86.207.188,6,57325,508,5
166.239.130.115,17,51308,849,5
45.146.56.164,17,1817,1410,5
221.187.63.164,6,443,84,8
218.249.174.27,17,53,767,9
108.144.95.19,6,20014,121,5
48.228.84.27,17,53,1170,9
95.203.244.130,6,80,628,8
254.213.13.107,6,49869,263,5
50.34.80.79,17,3691,994,5
49.228.56.80,6,80,1121,8
150.16.113.137,6,80,271,8
84.21.102.142,17,53,363,9
233.57.247.144,17,53,782,9
234.114.85.132,17,53,658,9
69.229.38.225,6,80,597,8
165.176.22.57,6,80,1194,8
164.68.192.64,6,80,1188,8
101.246.152.151,6,26233,821,5
180.74.173.119,6,80,1366,8
116.88.217.44,6,443,1163,8
44.124.65.6,6,48609,1395,5
26.152.91.116,17,36818,727,5
94.153.197.104,17,53,902,9
182.155.131.145,17,53,894,9
217.215.104.120,17,53,1307,9
21.51.254.130,6,41624,831,5
30.146.192.174,17,39673,942,5
181.233.72.156,17,12848,1358,5
80.113.206.148,6,443,581,8
218.66.105.139,17,65222,1391,5
188.201.194.230,17,1348,1012,5
230.80.138.244,17,53,1092,9
170.28.93.202,17,53,1397,9
15.189.96.98,6,12075,542,5
68.66.64.152,6,443,1035,8
44.46.139.160,6,52426,698,5
11.100.231.130,17,61360,1471,5
155.200.142.254,6,443,1446,8
104.196.181.26,6,443,90,8
240.235.69.62,6,34293,575,5
79.168.122.101,17,53,1325,9
143.128.209.239,6,80,212,8
30.34.138.222,6,443,512,8
238.38.92.149,17,8399,290,5
22.145.200.58,6,80,70,8
235.2.198.97,17,53,582,9
22.31.119.161,17,53,535,9
2.172.28.97,6,80,1026,8
163.80.103.100,6,80,1486,8
117.217.112.77,6,443,743,8
241.120.0.119,6,6693,79,5
221.85.128.149,17,53,1469,9
188.244.206.209,6,443,1139,8
79.124.20.145,6,80,763,8
73.125.217.104,17,53,952,9
71.106.37.51,6,443,86,8
144.166.117.103,6,80,1113,8
105.250.198.102,17,20578,282,5
213.212.153.155,17,53,975,9
51.0.98.241,6,80,1102,8
250.177.250.18,17,53,943,9
112.137.132.0,6,80,635,8
23.168.81.8,6,443,1162,8
93.21.193.41,6,48282,1072,5
133.230.32.254,6,80,916,8
43.164.57.230,6,443,1308,8
149.209.44.112,6,80,1029,8
145.151.16.124,17,53,263,9
111.17.4.54,6,54639,717,5
73.231.133.199,6,65495,1414,5
68.217.234.45,17,39069,513,5
53.241.224.75,6,80,1177,8
55.223.141.251,17,53,774,9
66.198.204.66,6,443,1240,8
236.2.232.129,17,53,104,9
161.144.170.68,17,53,947,9
121.167.89.222,17,53,1267,9
82.175.137.26,17,54273,1132,5
144.83.49.123,6,80,1097,8
230.185.243.163,6,80,160,8
230.169.131.82,17,53,1460,9
40.163.223.110,6,80,1247,8
121.186.25.219,17,36111,1412,5
231.41.176.111,17,3978,579,5
91.166.47.115,6,443,1481,8
41.169.178.215,17,27650,1278,5
139.249.166.109,17,53,575,9
192.134.8.97,6,59227,619,5
157.218.78.54,17,53,1059,9
177.202.166.76,6,80,1362,8
187.31.219.152,17,53,1078,9
62.91.212.175,6,80,122,8
185.46.239.224,17,53,383,9
153.215.84.119,6,443,956,8
102.177.248.89,6,443,1440,8
27.156.103.224,17,51376,1473,5
147.214.64.204,6,443,606,8
151.211.213.14,6,443,184,8
134.42.118.242,17,53,1174,9
35.185.127.54,17,20110,659,5
169.213.0.221,17,42343,1404,5
23.36.93.172,17,35567,1240,5
88.154.43.136,17,64702,1303,5
101.95.218.165,6,5632,1340,5
117.233.19.216,6,443,533,8
168.154.146.197,6,61393,633,5
44.12.173.92,17,53,1043,9
78.186.18.218,17,20661,1479,5
47.65.135.188,17,53,780,9
219.150.77.177,6,80,913,8
111.193.170.235,6,80,697,8
185.96.223.31,17,7350,892,5
198.142.71.176,6,80,1415,8
1.68.15.163,17,19887,259,5
40.201.214.140,17,53,191,9
25.147.237.254,6,80,1264,8
234.189.55.218,6,80,966,8
99.56.11.66,17,8676,335,5
239.109.91.75,6,443,1442,8
223.104.52.145,17,53,1444,9
152.208.252.97,6,443,1160,8
136.187.197.187,17,53,77,9
88.204.73.187,6,44713,1254,5
6.226.172.148,6,443,170,8
60.51.73.159,6,443,352,8
92.190.105.62,17,53,191,9
58.230.24.99,17,53,100,9
127.252.179.254,17,10584,374,5
11.83.212.230,17,28791,865,5
77.75.205.178,17,53,1332,9
23.197.10.124,17,35238,1490,5
46.12.84.136,17,6878,729,5
38.151.100.151,6,80,825,8
79.163.186.246,17,38728,202,5
123.12.3.107,17,23971,202,5
244.123.255.186,17,52647,1261,5
45.244.227.135,6,10394,967,5
27.63.8.102,6,63611,719,5
206.101.5.11,6,443,1053,8
187.144.77.254,6,443,1027,8
206.146.5.174,6,443,945,8
41.47.173.247,6,47774,1035,5
129.200.208.104,6,5460,959,5
175.177.68.181,17,58465,709,5
2.247.121.121,17,53,568,9
171.145.229.1,6,80,731,8
13.244.115.187,6,47202,899,5
108.203.145.99,6,80,248,8
232.128.129.249,6,80,136,8
128.135.27.169,17,63985,559,5
199.239.216.226,17,65147,825,5
182.71.43.168,17,44815,746,5
248.197.239.92,6,43196,1297,5
194.117.218.52,6,80,1203,8
20.123.122.51,6,33768,1483,5
1.199.234.139,17,53,641,9
66.1.147.139,6,80,941,8
223.72.214.250,17,53,194,9
111.84.210.185,6,443,1469,8
118.250.184.40,6,443,1103,8
10.51.62.239,6,7024,1147,5
222.46.122.188,6,38636,1489,5
117.210.253.169,17,53,940,9
94.138.53.203,17,20615,794,5
108.250.215.111,6,443,1197,8
172.204.142.112,6,443,1209,8
68.105.140.4,17,63984,529,5
75.17.193.129,17,53,479,9
106.196.117.165,17,12610,759,5
114.95.135.90,6,80,1416,8
28.151.70.148,17,64210,1140,5
187.94.20.214,6,80,193,8
101.110.81.112,17,11505,200,5
44.220.28.192,6,80,1400,8
136.244.202.84,6,14939,1182,5
126.82.194.44,17,53,156,9
228.137.20.159,17,53,545,9
158.3.131.212,6,53399,1099,5
145.174.117.124,17,64220,1485,5
10.103.114.146,17,15912,1022,5
83.155.77.115,17,53,1477,9
9.205.51.166,17,2441,1190,5
25.227.45.190,17,53,128,9
185.179.192.238,17,53,755,9
77.78.243.250,17,13674,1078,5
102.150.222.160,17,53,676,9
191.44.31.209,6,80,548,8
233.143.140.138,6,34613,585,5
247.20.186.183,17,53,340,9
203.44.78.33,17,53,1337,9
146.38.46.207,17,12104,1107,5
254.178.249.4,17,61445,209,5
203.49.118.24,17,53,545,9
12.128.51.240,17,10716,783,5
146.198.38.48,17,29281,286,5
239.123.128.241,6,80,452,8
47.138.235.1,6,80,939,8
72.240.6.163,6,42222,529,5
1.75.6.156,6,80,1438,8
53.6.227.55,6,443,487,8
200.52.119.118,17,53,1473,9
168.63.24.226,6,443,319,8
70.87.61.56,6,25300,1358,5
162.133.247.102,6,10974,220,5
24.222.171.254,6,80,1121,8
57.142.29.192,6,37021,506,5
181.129.148.224,6,443,1261,8
56.151.61.21,6,14564,159,5
156.131.207.174,6,80,1393,8
152.97.11.11,6,443,1307,8
138.156.252.141,17,2400,395,5
142.194.158.7,6,54941,1108,5
87.203.158.91,6,443,897,8
81.212.28.106,6,443,608,8
210.151.203.102,6,80,714,8
38.218.246.209,17,53,1174,9
127.188.205.117,6,25223,1099,5
99.219.13.234,6,443,1175,8
103.38.245.180,17,53,1278,9
252.37.127.241,17,30992,899,5
21.69.132.120,17,12714,636,5
135.147.83.52,17,53,623,9
77.213.22.200,6,44021,769,5
192.56.50.208,17,53,623,9
119.166.57.24,6,443,1259,8
149.190.108.138,6,443,1030,8
159.207.215.17,6,38825,146,5
144.156.202.103,17,17778,360,5
195.211.30.92,6,42997,603,5
190.122.49.104,6,80,1013,8
253.91.175.32,17,37074,488,5
137.159.173.3,17,53,1442,9
31.157.77.177,6,80,1339,8
101.79.218.49,17,53,1107,9
74.18.198.79,17,53,1138,9
221.105.165.150,6,80,568,8
250.152.246.2,17,17548,761,5
140.209.105.45,17,53,926,9
55.190.162.96,17,58942,449,5
71.100.169.86,6,13479,510,5
197.63.119.127,17,53,975,9
161.89.190.243,6,443,208,8
162.222.209.222,6,24575,1278,5
136.82.120.124,17,53,241,9
103.106.80.76,17,53,932,9
193.191.125.248,17,53,1430,9
236.175.84.158,17,4867,1138,5
223.147.85.172,17,53,164,9
102.105.246.121,17,53,302,9
212.114.30.51,6,80,93,8
195.79.179.169,6,80,502,8
167.252.27.173,17,60992,1270,5
25.43.179.188,17,53,782,9
107.19.183.29,17,12402,428,5
57.100.175.230,17,53,1439,9
5.216.108.149,17,53,954,9
156.28.172.35,6,18805,1157,5
160.32.114.217,17,47089,1454,5
175.50.106.245,17,5370,1155,5
243.172.47.94,6,443,725,8
233.199.235.41,17,29937,888,5
117.48.87.185,6,443,501,8
61.67.196.254,17,45539,88,5
51.37.33.52,6,39096,1412,5
33.245.90.165,17,63414,543,5
7.232.100.41,6,80,791,8
147.221.189.161,6,443,627,8
117.141.170.238,17,53,577,9
164.49.110.108,6,80,77,8
214.127.1.125,17,53,756,9
232.172.69.24,17,8246,1487,5
62.175.95.8,6,80,659,8
17.225.46.233,6,65361,1026,5
191.164.207.221,6,32928,1496,5
98.164.10.254,17,28704,1488,5
200.117.125.6,6,80,1101,8
245.35.159.149,17,53,591,9
137.143.53.134,6,26663,318,5
182.250.201.185,6,80,1130,8
112.66.235.158,17,10996,844,5
15.78.39.38,6,14657,235,5
207.201.27.82,6,443,1129,8
10.55.79.67,17,53,1117,9
112.166.215.139,17,53,129,9
201.148.150.171,17,9835,101,5
26.135.9.189,6,80,923,8
216.217.154.216,17,12360,1026,5
202.167.131.87,6,443,685,8
184.212.156.242,6,80,1107,8
93.208.158.52,6,80,961,8
168.18.207.27,17,8106,1189,5
123.139.21.129,6,46156,322,5
67.182.198.239,17,53,792,9
177.151.96.60,6,50180,289,5
181.134.116.181,17,49526,1166,5
192.164.0.136,6,443,1494,8
193.201.122.182,6,80,1284,8
87.170.86.129,17,53,824,9
176.111.6.129,17,35888,1482,5
35.216.106.79,17,50769,467,5
133.147.83.250,17,31990,536,5
6.164.9.59,17,53,1007,9
225.82.220.58,6,80,1481,8
144.68.30.198,17,53,604,9
182.187.205.88,17,14268,317,5
183.65.18.165,6,443,326,8
78.3.135.173,6,80,971,8
182.140.85.178,6,443,284,8
172.91.254.121,17,53,391,9
32.232.218.225,6,443,1270,8
155.129.206.36,17,53,1500,9
219.241.25.65,6,80,274,8
58.88.214.6,17,23058,1170,5
217.213.214.108,17,53,872,9
149.78.149.251,17,53,562,9
3.22.205.229,17,58824,130,5
132.78.46.139,17,53,1099,9
230.102.169.180,17,53,758,9
248.239.108.113,17,33857,649,5
164.211.116.24,6,19553,371,5
128.71.199.225,6,65021,1467,5
133.249.112.247,17,35090,1124,5
237.19.186.200,17,53,73,9
165.252.0.181,6,443,895,8
123.103.202.186,17,64714,863,5
97.63.80.219,17,54938,1254,5
16.147.160.91,6,443,1164,8
57.142.36.151,6,443,129,8
52.216.140.81,17,40168,149,5
38.108.51.146,17,62350,1156,5
50.106.205.234,6,33783,1413,5
127.176.183.182,6,46869,562,5
229.236.39.108,6,8110,451,5
189.202.240.137,17,19405,75,5
8.104.60.191,6,80,748,8
160.91.226.48,6,47348,839,5
243.184.31.228,17,32599,649,5
129.230.12.76,17,27970,1479,5
204.68.87.120,6,56052,428,5
133.223.248.226,6,61006,737,5
62.164.38.184,6,443,1392,8
219.134.154.2,17,53,1133,9
183.166.60.165,17,37447,87,5
45.108.24.208,17,18198,1045,5
71.8.180.46,17,53,122,9
190.60.124.132,6,443,1231,8
234.223.27.88,6,80,516,8
77.129.188.94,17,7189,670,5
53.45.237.120,6,19654,458,5
122.47.44.87,6,17140,1008,5
13.19.195.59,6,443,1308,8
18.179.179.235,6,443,670,8
122.113.206.123,6,53065,1234,5
113.32.59.122,17,28501,712,5
121.221.123.149,17,53,1471,9
150.225.86.69,17,53,1017,9
153.41.199.199,17,8174,424,5
231.173.89.91,6,80,344,8
164.131.57.247,6,21842,1232,5
193.107.68.225,6,80,75,8
254.3.74.14,6,10863,615,5
69.79.109.45,17,16157,409,5
161.145.158.18,6,80,454,8
165.49.11.224,17,59214,98,5
136.61.155.3,6,443,696,8
87.85.25.205,6,443,901,8
128.200.176.131,17,10750,1236,5
160.60.103.255,6,443,805,8
46.163.93.246,17,53,962,9
1.171.29.241,6,80,79,8
130.113.187.186,6,443,1149,8
126.235.245.57,6,443,677,8
45.197.133.33,17,48113,1277,5
194.172.13.109,6,80,1350,8
172.72.42.242,17,1033,1112,5
220.173.253.168,17,53,1059,9
210.147.35.226,6,80,1249,8
59.87.109.167,6,443,67,8
78.45.162.87,17,53,265,9
120.204.215.136,17,64484,317,5
175.75.136.255,6,80,652,8
172.0.205.94,6,80,402,8
82.226.74.142,17,53,116,9
169.159.140.3,6,80,462,8
185.249.211.118,6,50408,311,5
67.74.126.23,6,443,1369,8
213.157.203.250,6,36429,708,5
94.236.42.244,6,80,446,8
78.101.62.238,17,53,138,9
186.9.164.132,6,80,614,8
80.186.142.221,6,443,254,8
78.218.49.204,6,443,236,8
144.51.137.180,17,53,354,9
195.63.254.247,6,80,1314,8
240.163.2.25,17,20499,1420,5
104.166.80.206,6,57121,1419,5
70.50.115.96,6,62118,1401,5
51.196.60.209,6,443,310,8
65.132.149.164,17,9030,1343,5
213.34.28.64,17,52677,1164,5
6.15.211.182,6,443,558,8
97.229.97.187,6,443,1281,8
189.48.55.57,6,80,629,8
204.39.75.235,6,54361,954,5
70.34.112.203,17,6159,1431,5
19.13.164.118,17,53,66,9
41.17.38.143,17,60138,1210,5
185.12.164.71,6,27659,601,5
151.202.238.245,17,53,362,9
242.91.118.166,6,443,1325,8
180.220.112.198,6,443,1077,8
63.245.234.121,6,443,817,8
150.11.151.70,6,443,1432,8
15.47.99.59,6,443,331,8
87.186.168.136,17,48838,322,5
137.179.136.157,6,42813,709,5
72.195.165.157,17,53,1472,9
120.202.144.59,17,7222,935,5
18.240.237.125,17,5725,355,5
187.129.199.116,17,63510,1326,5
211.6.6.174,17,47233,102,5
223.187.58.67,6,80,777,8
150.253.173.150,17,53,477,9
146.247.112.114,6,443,402,8
143.212.130.120,17,39251,995,5
112.49.226.205,6,443,468,8
169.35.8.16,6,443,935,8
209.59.58.77,17,56065,958,5
176.135.171.14,6,443,188,8
197.24.141.77,6,10263,1176,5
189.50.235.218,17,53,613,9
197.207.220.230,6,80,253,8
54.253.249.16,17,52511,1128,5
82.62.144.31,17,53,188,9
58.73.98.209,6,80,948,8
92.185.99.92,6,80,1171,8
66.79.132.41,17,41847,100,5
238.196.50.208,17,53,744,9
35.232.187.5,6,37022,197,5
164.105.219.44,17,64985,136,5
109.101.143.68,17,29500,680,5
206.90.67.114,17,56298,1054,5
204.80.21.207,6,443,412,8
95.156.4.29,17,7264,706,5
